Designator,Footprint,Quantity,Value,LCSC Part #
D1,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4007,
J1,PinSocket_1x06_P2.54mm_Vertical,1,SPI,
J3,ML-950-4P,1,Power/Solenoid,
J4,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Trigger_IN,
J5,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Trigger_Out,
Q1,TO-220F-3_L10.2-W4.7-P2.54-L,1,IRLZ34N,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,100Ω,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10kΩ,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,2.2kΩ,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,3.3kΩ,
SW1,SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243,1,MODE,
SW2,SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243,1,+,
SW3,SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243,1,-,
U1,XIAO-RP2040-DIP,1,XIAO-RP2040-DIP,
U2,SIP3_M78AR-0.5_MIN,1,M78AR05-0.5,
